antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'low fat yogurt'}),frozenset({'mineral water'}),0.07652313024930009,0.23836821757099053,0.023996800426609784,0.313588850174216,1.315564857470243,1.0,0.005756118266131375,1.1095853886148515,0.25974688417304276,0.08249312557286893,0.09876246545716685,0.20712999555690664
frozenset({'shrimp'}),frozenset({'mineral water'}),0.07145713904812692,0.23836821757099053,0.023596853752832957,0.3302238805970149,1.385351973354703,1.0,0.006563742885208515,1.1371438311474906,0.2995680582087191,0.08244061481136468,0.12060376831055641,0.21460858459380946
frozenset({'olive oil'}),frozenset({'mineral water'}),0.0658578856152513,0.23836821757099053,0.027596320490601255,0.4190283400809717,1.7579035676439423,1.0,0.011897893683499625,1.3109620227175287,0.46153639321341183,0.09975903614457832,0.23720139663003123,0.2674000760807543
frozenset({'olive oil'}),frozenset({'spaghetti'}),0.0658578856152513,0.17411011865084655,0.022930275963204905,0.3481781376518219,1.999758201015556,1.0,0.01146375168463962,1.267048451510813,0.5351857444880701,0.10565110565110565,0.2107641986321737,0.23993899225623253
frozenset({'frozen smoothie'}),frozenset({'mineral water'}),0.06332489001466471,0.23836821757099053,0.020263964804692707,0.32,1.342460850111857,1.0,0.0051693236440180645,1.1200467388661905,0.27234557358383155,0.0720037896731407,0.10718011552599337,0.20250559284116332
frozenset({'burgers'}),frozenset({'eggs'}),0.0871883748833489,0.17970937208372217,0.02879616051193174,0.33027522935779813,1.8378297443715457,1.0,0.013127592408644938,1.224817512916086,0.49942391639485245,0.1209406494960806,0.18355184388312104,0.24525630904091686
frozenset({'milk'}),frozenset({'mineral water'}),0.12958272230369283,0.23836821757099053,0.04799360085321957,0.3703703703703704,1.5537741320739085,1.0,0.01710519830969167,1.209650477975486,0.4094654617858785,0.15,0.17331492178332722,0.2858563261247825
frozenset({'whole wheat rice'}),frozenset({'mineral water'}),0.058525529929342755,0.23836821757099053,0.020130649246767097,0.3439635535307517,1.4429925140012128,1.0,0.006180022995112005,1.1609595572442193,0.3260796990140309,0.07273603082851639,0.1386435524302763,0.2142077275483736
frozenset({'soup'}),frozenset({'mineral water'}),0.05052659645380616,0.23836821757099053,0.023063591521130515,0.45646437994722955,1.9149548735929356,1.0,0.01101965678450801,1.4012545900028865,0.5032205021321218,0.08676028084252758,0.2863538095543793,0.2766102660362546
frozenset({'spaghetti'}),frozenset({'mineral water'}),0.17411011865084655,0.23836821757099053,0.05972536995067324,0.3430321592649311,1.4390851379453289,1.0,0.01822305130679728,1.1593136455154853,0.36943675775394913,0.16931216931216933,0.1374206593114385,0.29679572169063106
frozenset({'frozen vegetables'}),frozenset({'mineral water'}),0.09532062391681109,0.23836821757099053,0.03572856952406346,0.37482517482517486,1.57246288387228,1.0,0.013007162303258473,1.2182700770396908,0.4024132212500716,0.11991051454138703,0.1791639482519931,0.26235665900095434
frozenset({'cooking oil'}),frozenset({'mineral water'}),0.0510598586855086,0.23836821757099053,0.020130649246767097,0.3942558746736292,1.6539783646123563,1.0,0.007959601742475753,1.2573490201306492,0.41667240407213124,0.07475247524752475,0.2046758823607374,0.23935388811981237
frozenset({'chocolate'}),frozenset({'mineral water'}),0.1638448206905746,0.23836821757099053,0.05265964538061592,0.3213995117982099,1.3483320682317521,1.0,0.013604247514365099,1.1223566673923893,0.30896530289330915,0.15064836003051105,0.10901763311716656,0.27115836887449646
frozenset({'chicken'}),frozenset({'mineral water'}),0.05999200106652446,0.23836821757099053,0.022796960405279298,0.38000000000000006,1.5941722595078303,1.0,0.0084967740425349,1.2284383587564671,0.3965021758765089,0.08272859216255443,0.18595834062664107,0.23781879194630876
frozenset({'tomatoes'}),frozenset({'mineral water'}),0.06839088121583789,0.23836821757099053,0.024396747100386616,0.3567251461988304,1.4965298219448695,1.0,0.008094534646858002,1.1839912254123692,0.35614449125902026,0.08640226628895187,0.15539914609442093,0.2295370697437105
frozenset({'tomatoes'}),frozenset({'spaghetti'}),0.06839088121583789,0.17411011865084655,0.020930542594320756,0.3060428849902534,1.7577547322449394,1.0,0.009022998151195267,1.1901165986857183,0.46273958268770116,0.09446450060168471,0.15974619536915105,0.21312864004489698
frozenset({'pancakes'}),frozenset({'mineral water'}),0.09505399280095987,0.23836821757099053,0.03372883615517931,0.3548387096774194,1.4886158620191963,1.0,0.011070985318208743,1.1805292627649648,0.36271227299512515,0.11254448398576512,0.15292231074572427,0.24816879555459337
frozenset({'ground beef'}),frozenset({'mineral water'}),0.09825356619117451,0.23836821757099053,0.040927876283162246,0.41655359565807326,1.7475215442008991,1.0,0.01750734884017864,1.305401450349256,0.4743694824294936,0.13841298467087468,0.2339521304098035,0.2941269096858599
frozenset({'ground beef'}),frozenset({'spaghetti'}),0.09825356619117451,0.17411011865084655,0.03919477403012932,0.3989145183175034,2.291162176033379,1.0,0.022087833962715117,1.3739973872558149,0.6249431765609852,0.16809605488850773,0.2721965781920247,0.31201468641755725
frozenset({'cake'}),frozenset({'mineral water'}),0.08105585921877083,0.23836821757099053,0.027463004932675644,0.33881578947368424,1.4213966649005065,1.0,0.0081418642470121,1.1519207057632783,0.32261658443418756,0.09406392694063927,0.13188469050273158,0.22701415871894504
